Entry ID,Lemma ID,Dominant Translation,Lexical Class,SignBank Semantic Field,Sign Type,Handshape,Nondominant Handshape,Selected Fingers,numberOfSelectedFingers,i,m,r,p,t,Thumb Position,Path Movement,Repeated Movement,Major Location,Minor Location,Contact,Frequency,Non-Signer Iconicity,Phonological Complexity,Neighborhood Density,Handshape Image,ASLlexURL
squirrel,squirrel,squirrel,Noun,Animal,Dominance Violation,bent_v,Dominance Condition Violation,im,2,1,1,0,0,0,Closed,Straight,1,Hand,Finger Tip,1,2.8,2.917,2,1,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/bent_v.png"" />",https://asl-lex.org/visualization/?sign=squirrel
straight,straight,straight,Adjective,Attribute,One Handed,closed_b,N/A,imrp,4,1,1,1,1,0,Closed,Straight,0,Head,Forehead,1,5.571,6.16,1,8,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/closed_b.png"" />",https://asl-lex.org/visualization/?sign=straight
strawberry,strawberry,strawberry,Noun,Food,One Handed,f,N/A,i,1,1,0,0,0,0,Open,Straight,1,Head,Mouth,1,2.524,1.595,1,7,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/f.png"" />",https://asl-lex.org/visualization/?sign=strawberry
strawberry_2,strawberry_2,strawberry,Noun,Food,One Handed,f,N/A,i,1,1,0,0,0,0,Open,Curved,1,Head,Mouth,1,5.667,1.292,2,2,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/f.png"" />",https://asl-lex.org/visualization/?sign=strawberry_2
strong,strong,strong,Adjective,Attribute,Symmetrical Or Alternating,s,s,imrp,4,1,1,1,1,0,Closed,Straight,1,Body,Body Away,0,4.926,6.55,1,9,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/s.png"" />",https://asl-lex.org/visualization/?sign=strong
stupid_1,stupid_1,stupid,Adjective,Attribute,One Handed,v,N/A,im,2,1,1,0,0,0,Closed,Straight,0,Head,Forehead,1,4.1,3.767,2,3,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/v.png"" />",https://asl-lex.org/visualization/?sign=stupid_1
stupid_2,stupid_2,stupid,Adjective,Attribute,One Handed,g,N/A,i,1,1,0,0,0,0,Open,None,0,Head,Head Away,0,4.633,4.161,1,1,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/g.png"" />",https://asl-lex.org/visualization/?sign=stupid_2
sushi,sushi,sushi,Noun,Food,Asymmetrical Different Handshape,h,B,im,2,1,1,0,0,0,Closed,Straight,1,Hand,Palm,1,4.269,1.32,3,7,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/h.png"" />",https://asl-lex.org/visualization/?sign=sushi
sweep,sweep,sweep,Verb,Event,Asymmetrical Same Handshape,open_b,open_b,imrp,4,1,1,1,1,0,Open,Curved,1,Hand,Palm,1,3.259,4.6,2,11,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/open_b.png"" />",https://asl-lex.org/visualization/?sign=sweep
third_1,third,third,Number,Number,One Handed,3,N/A,im,2,1,1,0,0,0,Open,None,0,Neutral,Neutral,0,4.481,4.065,2,3,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/3.png"" />",https://asl-lex.org/visualization/?sign=third_1
third_2,third,third,Number,Number,One Handed,3,N/A,im,2,1,1,0,0,0,Open,Curved,0,Neutral,Neutral,0,4.4,3.36,3,3,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/3.png"" />",https://asl-lex.org/visualization/?sign=third_2
three,three,three,Number,Number,One Handed,3,N/A,im,2,1,1,0,0,0,Open,Straight,0,Neutral,Neutral,0,6.08,6.667,2,2,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/3.png"" />",https://asl-lex.org/visualization/?sign=three
tiger,tiger,tiger,Noun,Animal,Symmetrical Or Alternating,5,5,imrp,4,1,1,1,1,0,Open,Straight,1,Head,Cheek Nose,0,3.097,3.711,1,2,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/5.png"" />",https://asl-lex.org/visualization/?sign=tiger
twins_1,twins,twins,Noun,People,One Handed,v,N/A,im,2,1,1,0,0,0,Closed,Z-shaped,0,Head,Chin,1,3.4,2.273,4,0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/v.png"" />",https://asl-lex.org/visualization/?sign=twins_1
twins_2,twins,twins,Noun,People,One Handed,baby_o,N/A,i,1,1,0,0,0,0,Open,Z-shaped,0,Head,Chin,1,3.04,1.48,3,0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/baby_o.png"" />",https://asl-lex.org/visualization/?sign=twins_2
two,two,two,Number,Number,One Handed,v,N/A,im,2,1,1,0,0,0,Closed,Straight,0,Neutral,Neutral,0,5.286,6.963,2,7,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/v.png"" />",https://asl-lex.org/visualization/?sign=two
under,under,under,Minor,Locative,Asymmetrical Different Handshape,a,B,t,1,0,0,0,0,1,Open,Curved,0,Hand,Hand Away,0,4.406,3.968,4,0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/a.png"" />",https://asl-lex.org/visualization/?sign=under
vacuum,vacuum,vacuum,Verb,Event,One Handed,baby_o,N/A,i,1,1,0,0,0,0,Open,Z-shaped,0,Neutral,Neutral,0,3.692,4.52,3,7,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/baby_o.png"" />",https://asl-lex.org/visualization/?sign=vacuum
vegetable,vegetable,vegetable,Noun,Food,One Handed,v,N/A,im,2,1,1,0,0,0,Closed,None,0,Head,Mouth,1,4.931,1.2,2,1,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/v.png"" />",https://asl-lex.org/visualization/?sign=vegetable
waiter,waiter,waiter,Noun,People,Symmetrical Or Alternating,open_b,open_b,imrp,4,1,1,1,1,0,Open,Straight,1,Neutral,Neutral,0,4.484,1.568,0,36,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/open_b.png"" />",https://asl-lex.org/visualization/?sign=waiter
wander,wander,wander,Verb,Event,One Handed,1,N/A,i,1,1,0,0,0,0,Closed,Z-shaped,0,Neutral,Neutral,0,3.548,3.487,3,15,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/1.png"" />",https://asl-lex.org/visualization/?sign=wander
wet,wet,wet,Adjective,Attribute,Symmetrical Or Alternating,5,5,imrp,4,1,1,1,1,0,Open,Straight,0,Neutral,Neutral,0,4.52,1.7,1,2,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/5.png"" />",https://asl-lex.org/visualization/?sign=wet
witch,witch,witch,Noun,People,One Handed,bent_l,N/A,i,1,1,0,0,0,0,Open,Curved,0,Head,Head Away,1,1.739,2.762,2,0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/bent_l.png"" />",https://asl-lex.org/visualization/?sign=witch
wrong_1,wrong,wrong,Adjective,Attribute,One Handed,y,N/A,p,1,0,0,0,1,0,Open,Straight,1,Head,Chin,1,6.08,1.889,2,6,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/y.png"" />",https://asl-lex.org/visualization/?sign=wrong_1
wrong_2,wrong,wrong,Adjective,Attribute,One Handed,y,N/A,p,1,0,0,0,1,0,Open,Straight,0,Head,Chin,1,5.667,1.389,2,3,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/y.png"" />",https://asl-lex.org/visualization/?sign=wrong_2
zoom_in,zoom_in,zoom in,Verb,Event,Symmetrical Or Alternating,s,s,i,1,1,0,0,0,0,Open,Straight,0,Neutral,Neutral,1,3.958,4.667,1,0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/s.png"" />",https://asl-lex.org/visualization/?sign=zoom_in
